4241.5	4521.8	6589.7	2905.8	3887	3815.1	3463.3	2450.8	4495.3	4560.8	4708.6	17594	7848.7	4077.7	5899.8	15996
4304.7	4609.9	6549	2921.9	3920.7	3830.6	3490.5	2474.5	4545.5	4573.6	4568.1	17598	7960.8	4159.7	6003.2	16512
4273	4645.3	6287.4	2863.6	3867	3837.3	3464.3	2415.9	4444.3	4383.3	4238.7	16407	7955.1	4204.7	5978.8	16184
4193.9	4570	6069.8	2833.1	3853.5	3802.2	3419.9	2377.9	4378.1	4379.8	4073.8	15574	7755.1	4125.7	5902.2	15969
4169.8	4628.5	5898.2	2804.5	3825.4	3773.9	3384.3	2347.3	4312.2	4279.3	3852.9	14652	7772.9	4189.4	5944.8	15908
4188.9	4690.3	5847.2	2790.9	3842	3832.7	3439.7	2360.8	4312.8	4239.8	3810.4	14519	7903.9	4252.9	5985.3	15999
4124	4693.5	5658	2771	3821.3	3817.1	3401.1	2332.5	4284.5	4332.5	3652.8	13557	7830.8	4257.5	5969.1	15899
4050.8	4643.4	5498.4	2734.9	3782.1	3778.5	3354.6	2298.8	4189.4	4234.7	3528.4	12915	7672.8	4218.8	5899	15519
4049.2	4711.1	5378.3	2690.3	3745.9	3774.9	3359.2	2276.6	4127.3	4088.6	3429.3	12391	7772.9	4284.5	5906.2	15383
4023.6	4702.9	5319.2	2705.9	3781.1	3791.3	3350.5	2280	4149.1	4198.4	3378.7	12037	7722.1	4290.8	5925.4	15507
4039.4	4782.3	5160.8	2667	3781.6	3807.8	3342.6	2259.3	4077.7	4021.5	3291.3	11639	7797.3	4331.3	5919	15519
3952.6	4677.8	5020.8	2620.1	3704.9	3723.6	3290.4	2223.9	3985.3	3910.1	3223.2	11154	7630.4	4278.2	5840.8	14991
3958	4746.6	4950.6	2627	3767.3	3745.9	3280.4	2227	4015	3969.7	3154.4	10737	7733.1	4330.7	5897.4	15111
3995.5	4800.3	4914.9	2637.7	3837.3	3821.3	3341.2	2248.9	4029.6	3991.2	3185.3	10742	7816.2	4368.1	5968.3	15566
3976.2	4869.6	4844.9	2618.2	3830.6	3834.2	3333.9	2232.4	3998.7	3961.2	3151.4	10375	7938	4442.5	6024.5	15490
3960.6	4859.9	4819	2624.3	3854	3822.3	3321.5	2238.9	4026.3	4066.1	3132.5	10205	7986	4480.8	6048.3	15536
3919.7	4880.7	4716.8	2596.5	3844.1	3814	3294.5	2217.1	3962.8	3980.5	3055	9733.2	7903.9	4486.8	5994.3	15400
3903.8	4912.2	4671.5	2585.9	3850.9	3822.3	3311.4	2230	3966.5	3920.2	3063.6	9644.7	8015.9	4526.7	6040.1	15323
3905.9	4945.3	4591.5	2572.7	3879.6	3850.9	3317.8	2220.8	3920.7	3854.5	3029.4	9360.1	8041.3	4508.5	5999.2	15432
3960.6	5032.2	4595.8	2586.3	3929.7	3880.1	3339.4	2245.5	3957.4	3897.5	3049.9	9422.3	8231.5	4596.4	6108.8	15824
3885.9	4986.6	4495.3	2562.5	3903.8	3849.3	3316.9	2228.3	3905.4	3852.9	3012	9073	8198.2	4609.3	6100.5	15458
3827	4957.2	4419.9	2521.4	3889.6	3830.6	3289	2201.7	3871.2	3838.4	2951.8	8720	8093.5	4561.4	5977.2	15072
3818.7	4973.2	4344.7	2522.5	3923.4	3827.5	3259.6	2192.9	3857.1	3916	2955.6	8555.2	8139.2	4601.9	6051.6	15158
